,MSR_Sample_Average,MSR_Sample_EWA,MSR_CCM_Average,MSR_CCM_EWA,MSR_Shrinkage_Average,MSR_Shrinkage_EWA,GMV_Sample,GMV_CCM,GMV_Shrinkage,EW,CW,ERC_Sample,ERC_CCM,ERC_Shrinkage
0101.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.006,0.032,0.038,0.035
1038.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.035,0.026,0.056,0.021,0.071,0.058,0.065
1044.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.0,0.037,0.056,0.005,0.056,0.043,0.049
1109.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.033,0.031,0.036,0.034
0011.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.032,0.056,0.036,0.051,0.065,0.058
0012.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.056,0.02,0.037,0.052,0.044
0016.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.041,0.047,0.056,0.039,0.053,0.06,0.056
0001.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.079,0.066,0.056,0.03,0.054,0.068,0.061
0267.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.004,0.056,0.05,0.043,0.042,0.042
0027.HK,0.0,0.041,0.0,0.022,0.0,0.032,0.016,0.0,0.0,0.056,0.024,0.034,0.028,0.031
0291.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.001,0.056,0.016,0.037,0.038,0.038
0002.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.199,0.192,0.195,0.056,0.029,0.102,0.087,0.096
0322.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.007,0.056,0.013,0.045,0.034,0.039
0003.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088,0.048,0.056,0.023,0.054,0.07,0.062
0005.HK,1.0,0.959,1.0,0.978,1.0,0.968,0.317,0.323,0.33,0.056,0.284,0.09,0.104,0.097
0688.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.026,0.034,0.038,0.036
0006.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.132,0.109,0.116,0.056,0.018,0.094,0.074,0.085
0941.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.116,0.058,0.091,0.056,0.328,0.082,0.064,0.072
